publisher,safe_name,wiki_title,wiki_lang,wikidata_id,official_url,logo_filename,image_source_url,output_path,status
Floro,Floro,Gilles Floro,fr,Q3106238,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Floro/folder.jpg,no_image
Fordis,Fordis,Chilabothrus fordii,fr,Q3011592,,PelophilusFordiiFord.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Fordis/folder.jpg,no_image
France Loisirs,France Loisirs,France Loisirs,fr,Q3080726,https://www.franceloisirs.com,,https://www.franceloisirs.com/img/logo-1677682126.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/France Loisirs/folder.jpg,ok
Galerie Dock Sud,Galerie Dock Sud,Classe Wasp,fr,Q304299,,USS Wasp (LHD 1).jpg,https://commons.wikimedia.org/wiki/Special:FilePath/USS%20Wasp%20%28LHD%201%29.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Galerie Dock Sud/folder.jpg,ok
Gallimard Jeunesse,Gallimard Jeunesse,Gallimard Jeunesse,fr,Q2522678,http://www.gallimard-jeunesse.fr/,,https://www.gallimard-jeunesse.fr/assets/media/cache/advice_medium/var/gallimard-multisite/storage/images/4/7/8/0/874-1-fre-FR/logo-gallimard-bd.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Gallimard Jeunesse/folder.jpg,ok
Gautier-Languereau,Gautier-Languereau,Gautier-Languereau,fr,Q3099508,https://www.meslivresjeunesse.fr/gautier-languereau/,,https://www.meslivresjeunesse.fr/images/placeholders/meslivresjeunesse/cover.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Gautier-Languereau/folder.jpg,ok
Glénat / Fayard,Glénat - Fayard,Clotilde Bruneau,fr,Q64852855,,Montreuil - Salon du livre jeunesse 2012 - Clotilde Bruneau - 006.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Glénat - Fayard/folder.jpg,no_image
Glénat / Éditions du Patrimoine,Glénat - Éditions du Patrimoine,Glénat,fr,Q1454296,https://glenat.com,Editions Glenat logo.png,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Glénat - Éditions du Patrimoine/folder.jpg,no_image
Grasset,Grasset,Éditions Grasset,fr,Q621534,http://www.grasset.fr/,Siège des éditions Grasset et Fasquelle.jpg,https://media.hachette.fr/fit-in/1200x627/15/2023-06/grasset-home-lancement.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Grasset/folder.jpg,ok
Graton (Dupuis),Graton (Dupuis),Michel Vaillant,fr,Q1503314,http://www.michelvaillant.com,Michel Vaillant logo.png,https://www.michelvaillant.com/assets/dist/img/sections/fonds/fond_albums.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Graton (Dupuis)/folder.jpg,ok
