path,group_background,group_text,label_text
Publishers_NON-ENGLISH/FR/Dupuis/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Editions Reflexions/folder.css,#88482f,#88482f,#000000
Publishers_NON-ENGLISH/FR/Fluide Glacial/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Futuropolis/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Galaxie Comics/folder.css,#4b6570,#4b6570,#ffffff
Publishers_NON-ENGLISH/FR/Gallimard/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Glénat/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Hexagon Comics/folder.css,#6b3632,#6b3632,#ffffff
Publishers_NON-ENGLISH/FR/Indeez/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Jungle !/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Jungle/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Kotoji Editions/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/La Découverte/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/La Musardine Dynamite/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Le Lombard/folder.css,#0b0205,#0b0205,#ffffff
Publishers_NON-ENGLISH/FR/Les Humanoïdes Associés/folder.css,#0c3e59,#0c3e59,#ffffff
Publishers_NON-ENGLISH/FR/Los Brignolès/folder.css,#9b9b9b,#9b9b9b,#ffffff
Publishers_NON-ENGLISH/FR/Makma/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Panini Comics/folder.css,#fef200,#fef200,#000000
Publishers_NON-ENGLISH/FR/Rue de Sèvres/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Sandawe/folder.css,#ffffff,#ffffff,#ffffff
Publishers_NON-ENGLISH/FR/Urban Comics/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Vents d'Ouest/folder.css,#e6dbc7,#e6dbc7,#000000
Publishers_NON-ENGLISH/FR/WEBellipses/folder.css,#bedee0,#bedee0,#000000
Publishers_NON-ENGLISH/FR/Wanga/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/_incomplete/Delcourt - Soleil/folder.css,#f3b000,#f3b000,#000000
Publishers_NON-ENGLISH/FR/_incomplete/Harlequin Comics en Français/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/_incomplete/Kazé/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/_incomplete/Marvel - MAX/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/_incomplete/Marvel/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Çà et Là/folder.css,#961f01,#961f01,#ffffff
Publishers_NON-ENGLISH/FR/çà et là - Arte Éditions/folder.css,#961f01,#961f01,#ffffff
Publishers_NON-ENGLISH/IT/Marvel - MAX/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/IT/Marvel/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/ZH/Harlequin SB Creative Corp_/folder.css,#e7a0a6,#e7a0a6,#ffffff
